rgdpnapc,Afghanistan,Angola,Albania,United Arab Emirates,Argentina,Armenia,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Bolivia (Plurinational State of),Brazil,Barbados,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Côte d'Ivoire,Cameroon,D.R. of the Congo,Congo,Colombia,Comoros,Cabo Verde,Costa Rica,Czechoslovakia,Cuba,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,Ecuador,Egypt,Spain,Estonia,Ethiopia,Finland,France,Gabon,United Kingdom,Georgia,Ghana,Guinea,Gambia,Guinea-Bissau,Equatorial Guinea,Greece,Guatemala,"China, Hong Kong SAR",Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,Iran (Islamic Republic of),Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyzstan,Cambodia,Republic of Korea,Kuwait,Lao People's DR,Lebanon,Liberia,Libya,Saint Lucia,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Morocco,Republic of Moldova,Madagascar,Mexico,TFYR of Macedonia,Mali,Malta,Myanmar,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Poland,Puerto Rico,D.P.R. of Korea,Portugal,Paraguay,State of Palestine,Qatar,Romania,Russian Federation,Rwanda,Saudi Arabia,Sudan (Former),Senegal,Singapore,Sierra Leone,El Salvador,Serbia,Sao Tome and Principe,Former USSR,Slovakia,Slovenia,Sweden,Swaziland,Seychelles,Syrian Arab Republic,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Trinidad and Tobago,Tunisia,Turkey,"Taiwan, Province of China",U.R. of Tanzania: Mainland,Uganda,Ukraine,Uruguay,United States,Uzbekistan,Venezuela (Bolivarian Republic of),Viet Nam,Yemen,Former Yugoslavia,South Africa,Zambia,Zimbabwe
1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575,,,,,,,,,,,,,,,,,,,,,,,1121,,1127,,,1722,,,,,,,,,,,,,,,,,,1502,,,,,,,,,,,,,,,,,,,,,,,,,
1800,,,,,1635,,,,,,,,,,,,,,,1123,,,,,,,,,,,,937,,,,,,,,1993,,,,,,,,1600,,,1232,,,3277,,,,,,,,,,,,,,,,,,,,,2778,,,1009,,,,,,,,,,,,,,,,,,,,1555,,,,,,,,,,,,,,,,,,,,,,,1120,,1102,,,1733,,,,,,,,,,,,,,,,,,1447,,,,,,,,,,,,,,,,1807,1980,,1210,,,,2276,,
1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3285,,,,,,,,,,,,,,,862,,,,,,2743,,,,,,,,,,,,,,,,,,,,,,,1545,,,,,,,,,,,,,,,,,,,,,,,1060,,,,,1783,,,,,,,,,,,,,,,,,,1435,,,,,,,,,,,,,,,,,2017,,,,,,,,
1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3295,,,,,,,,,,,,,,,,,,,,,2832,,,,,,,,,,,,,,,,,,,,,,,1516,,,,,,,,,,,,,,,,,,,,,,,1062,,,,,1828,,,,,,,,,,,,,,,,,,1502,,,,,,,,,,,,,,,,,2050,,,,,,,,
1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3188,,,,,,,,,,,,,,,,,,,,,2911,,,,,,,,,,,,,,,,,,,,,,,1505,,,,,,,,,,,,,,,,,,,,,,,1041,,,,,1872,,,,,,,,,,,,,,,,,,1487,,,,,,,,,,,,,,,,,2015,,,,,,,,
1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3142,,,,,,,,,,,,,,,,,,,,,3036,,,,,,,,,,,,,,,,,,,,,,,1477,,,,,,,,,,,,,,,,,,,,,,,1035,,,,,1958,,,,,,,,,,,,,,,,,,1390,,,,,,,,,,,,,,,,,2014,,,,,,2176,,
1805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3283,,,,,,,,,,,,,,,,,,,,,2938,,,,,,,,,,,,,,,,,,,,,,,1456,,,,,,,,,,,,,,,,,,,,,,,1065,,,,,1867,,,,,,,,,,,,,,,,,,1479,,,,,,,,,,,,,,,,,2056,,,,,,2062,,
1806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3223,,,,,,,,,,,,,,,,,,,,,3009,,,,,,,,,,,,,,,,,,,,,,,1431,,,,,,,,,,,,,,,,,,,,,,,1100,,,,,1738,,,,,,,,,,,,,,,,,,1495,,,,,,,,,,,,,,,,,2094,,,,,,2063,,
1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3387,,,,,,,,,,,,,,,,,,,,,3018,,,,,,,,,,,,,,,,,,,,,,,1395,,,,,,,,,,,,,,,,3334,,,,,,,1110,,,,,1777,,,,,,,,,,,,,,,,,,1433,,,,,,,,,,,,,,,,,2114,,,,,,2236,,
1808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3187,,,,,,,,,,,,,,,,,,,,,3187,,,,,,,,,,,,,,,,,,,,,,,1360,,,,,,,,,,,,,,,,2971,,,,,,,1090,,,,,1724,,,,,,,,,,,,,,,,,,1357,,,,,,,,,,,,,,,,,1965,,,,,,1958,,
1809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3244,,,,,,,,,,,,,,,,,,,,,3204,,,,,,,,,,,,,,,,,,,,,,,1324,,,,,,,,,,,,,,,,,,,,,,,1080,,,,,1737,,,,,,,,,,,,,,,,,,1295,,,,,,,,,,,,,,,,,2062,,,,,,1913,,
1810,,,,,,,,,,,,,,,,,,,,,,,,,,744,,,,,,,,,,,,,,,,,,,,,,,,,,,,3410,,,,,,,,,,,,,,,,,,,,,2956,,,,,,,,,,,,,,,,,,,,,,,1277,,,,,,,,,,,,,,,,,,,,,,,1087,,,,,1515,,,,,,,,,,,,,,,,,,1399,,,,,,,,,,,,,,,,,2120,,,,,,2115,,
1811,,,,,,,,,,,,,,,,,,,,,,,,,,711,,,,,,,,,,,,,,,,,,,,,,,,,,,,3331,,,,,,,,,,,,,,,821,,,,,,2858,,,,,,,,,,,,,,,,,,,,,,,1244,,,,,,,,,,,,,,,,,,,,,,,1015,,843,,,1531,,,,,,,,,,,,,,,,,,1503,,,,,,,,,,,,,,,,,2163,,,,,,1677,,
1812,,,,,,,,,,,2426,,,,,,,,,,,,,,,699,718,,,,,,,,,,,,,,,,,,,,,,,,,,,3145,,,,,,,,,,,,,,,,,,,,,2920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023,,809,,,1457,,,,,,,,,,,,,,,,,,1407,,,,,,,,,,,,,,,,,2125,,,,,,1699,,
1813,,,,,,,,,,,,,,,,,,,,,,,,,,705,,,,,,,,,,,,,,,,,,,,,,,,,,,,3264,,,,,,,,,,,,,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989,,829,,,1578,,,,,,,,,,,,,,,,,,1433,,,,,,,,,,,,,,,,,2149,,,,,,2139,,
1814,,,,,,,,,,,,,,,,,,,,,,,,,,709,,,,,,,,,,,,,,,,,,,,,,,,,,,,3142,,,,,,,,,,,,,,,,,,,,,3036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,968,,879,,,1636,,,,,,,,,,,,,,,,,,1444,,,,,,,,,,,,,,,,,2190,,,,,,2166,,
1815,,,,,,,,,,,,,,,,,,,,,,,,,,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,3421,,,,,,,,,,,,,,875,,,,,,,2903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,,,,,,,941,,895,,,1609,,,,,,,,,,,,,,,,,,1495,,,,,,,,,,,,,,,,,2180,,,,,,1800,,
1816,,,,,,,,,,,,,,,,,,,,,,,,,,689,,,,,,,,,,,,,,,,,,,,,,,,,,,,3188,,,,,,,,,,,,,,950,,,,,,,2858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3239,,,,,,,959,,899,,,1598,,,,,,,,,,,,,,,,,,1524,,,,,,,,,,,,,,,,,2092,,,,,,1877,,
1817,,,,,,,,,,,,,,,,,,,,,,,,,,681,,,,,,,,,,,,,,,,,,,,,,,,,,,,3190,,,,,,,,,,,,,,938,,,,,,,2885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3271,,,,,,,938,,910,,,1633,,,,,,,,,,,,,,,,,,1480,,,,,,,,,,,,,,,,,2091,,,,,,1951,,
1818,,,,,,,,,,,,,,,,,,,,,,,,,,718,,,,,,,,,,,,,,,,,,,,,,,,,,,,3139,,,,,,,,,,,,,,918,,,,,,,3107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3322,,,,,,,940,,929,,,1763,,,,,,,,,,,,,,,,,,1492,,,,,,,,,,,,,,,,,2097,,,,,,2070,,
1819,,,,,,,,,,,,,,,,,,,,,,,,,,687,,,,,,,,,,,,,,,,,,,,,,,,,,,,3043,,,,,,,,,,,,,,920,,,,,,,3080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3169,,,,,,,918,,966,,,1877,,,,,,,,,,,,,,,,,,1479,,,,,,,,,,,,,,,,,2092,,,,,,1790,,
1820,,,,,1753,,941,2112,,,,,,,,,,,,1123,,,,1530,,718,854,,,,,845,,,,1592,,,,,,,2288,,,,1599,,,,1334,1867,,3241,,,,,,,,,961,,,,,912,,1775,1531,3847,,,3080,1364,1132,,,,,,462,,,2186,,,,799,,,,,703,,,1200,,,,594,,,,,,,1120,,,,,3395,2614,621,,,,,883,1094,998,,245,1849,,,,,,,2399,,,,,,,,,,,1500,,,504,,,795,,,,718,1210,897,,,,1949,2080,,1092,778,,,1769,,
1821,,,,,,,950,,,,,,,,,,,,,,,,,,,702,,,,,,,,,,,,,,,,,2373,,,,,,,,,2014,,3243,,,,,,,,,,,,,,921,782,,,,,,3027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3327,,,,,,,727,,1017,,,1924,,,,,,,,,,,,,,,,,,1545,,,,,,,,,,,,,,,,,2113,,,,,,2087,,
1822,,,,,,,977,,,,,,,,,,,,,,,,,,,724,,,,,,,,,,,,,,,,,2384,,,,,,,,,1935,,3251,,,,,,,,,,,,,,920,,,,,,,3062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3358,,,,,,,693,,1037,,,1949,,,,,,,,,,,,,,,,,,1552,,,,,,,,,,,,,,,,,2171,,,,,,1948,,
1823,,,,,,,1011,,,,,,,,,,,,,,,,,,,696,,,,,,,,,,,,,,,,,2350,,,,,,,,,1996,,3294,,,,,,,,,,,,,,921,,,,,,,3089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3524,,,,,,,717,,1061,,,1893,,,,,,,,,,,,,,,,,,1535,,,,,,,,,,,,,,,,,2147,,,,,,,,
1824,,,,,,,1067,,,,,,,,,,,,,,,,,,,685,,,,,,,,,,,,,,,,,2386,,,,,,,,,2050,,3424,,,,,,,,,,,,,,875,,,,,,,3169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3499,,,,,,,690,,1083,,,1877,,,,,,,,,,,,,,,,,,1577,,,,,,,,,,,,,,,,,2205,,,,,,,,
1825,,,,,,,1118,,,,,,,,,,,,,,,,,,,744,,,,,,,,,,,,,,,,,2375,,,,,,,,,1959,,3453,,,,,,,,,,,,,,900,,,,,,,3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3411,,,,,,,709,,1095,,,1827,,,,,,,,,,,,,,,,,,1619,,,,,,,,,,,,,,,,,2254,,,,,,,,
1826,,,,,,,1140,,,,,,,,,,,,,,,,,,,771,,,,,,,,,,,,,,,,,2379,,,,,,,,,2011,,3226,,,,,,,,,,,,,,954,,,,,,,3213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3465,,,,,,,675,,1100,,,1808,,,,,,,,,,,,,,,,,,1623,,,,,,,,,,,,,,,,,2270,,,,,,2015,,
1827,,,,,,,1174,,,,,,,,,,,,,,,,,,,788,,,,,,,,,,,,,,,,,2424,,,,,,,,,1969,,3430,,,,,,,,,,,,,,961,,,,,,,3160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3669,,,,,,,719,,1125,,,1694,,,,,,,,,,,,,,,,,,1547,,,,,,,,,,,,,,,,,2279,,,,,,,,
1828,,,,,,,1204,,,,,,,,,,,,,,,,,,,794,,,,,,,,,,,,,,,,,2437,,,,,,,,,1957,,3393,,,,,,,,,,,,,,944,,,,,,,3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3747,,,,,,,713,,1151,,,1747,,,,,,,,,,,,,,,,,,1574,,,,,,,,,,,,,,,,,2279,,,,,,,,
1829,,,,,,,1271,,,,,,,,,,,,,,,,,,,814,,,,,,,,,,,1147,,,,,,2378,,,,,,,,,2008,,3375,,,,,,,,,,,,,,918,,,,,,,3116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3753,,,,,,,698,,1162,,,1729,,,,,,,,,,,,,,,,,,1596,,,,,,,,,,,,,,,,,2204,,,,,,2042,,
1830,,,,,,,1542,2425,,,,,,,,,,,,,,,,1691,,806,,,,,,,,,,,,,,,,,2390,,,,,,,,,1959,,3481,,,,,,,,,,,,,,906,,,,,,,3071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3429,2724,,,,,,707,,1150,,,1707,,,,,,,,,,,,,,,,,,1557,,,,,,,,,,,,,,,,,2364,,2168,,,,,,
1831,,,,,,,1593,,,,,,,,,,,,,,,,,,,810,,,,,,,,,,,,,,,,,2369,,,,,,,,,1986,,3476,,,,,,,,,,,,,,893,789,,,,,,3178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3685,2560,,,,,,711,,1134,,,1650,,,,,,,,,,,,,,,,,,1587,,,,,,,,,,,,,,,,,2509,,2139,,,,1852,,
1832,,,,,,,1629,,,,,,,,,,,,,,,,,,,834,,,,,,,,,,,,,,,,,2433,,,,,,,,,2159,,3542,,,,,,,,,,,,,,893,,,,,,,3204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3857,2633,,,,,,693,,1126,,,1644,,,,,,,,,,,,,,,,,,1545,,,,,,,,,,,,,,,,,2600,,2416,,,,,,
1833,,,,,,,1635,,,,,,,,,,,,,,,,,,,838,,,,,,,,,,,,,,,,,2401,,,,,,,,,2118,,3529,,,,,,,1854,,,,,,,925,,,,,,,3222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3771,2850,,,,,,724,,1123,,,1624,,,,,,,,,,,,,,,,,,1593,,,,,,,,,,,,,,,,,2691,,2451,,,,,,
1834,,,,,,,1719,,,,,,,,,,,,,,,,,,,857,,,,,,,,,,,,,,,,,2510,,,,,,,,,2121,,3569,,,,,,,1974,,,,,,,954,,,,,,,3249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3805,2886,,,,,,744,,1127,,,1615,,,,,,,,,,,,,,,,,,1614,,,,,,,,,,,,,,,,,2562,,2476,,,,,,
1835,,,,,,,2081,,,,,,,,,,,,,,,,,,,875,,,,,,,,,,,,,,,,,2474,,,,,,,,,2192,,3786,,,,,,,2579,,,,,,,923,,,,,,,3338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3794,2840,,,,,,768,,1117,,,1562,,,,,,,,,,,,,,,,,,1608,,,,,,,,,,,,,,,,,2660,,2430,,,,,,
1836,,,,,,,2045,,,,,,,,,,,,,,,,,,,865,,,,,,,,,,,,,,,,,2457,,,,,,,,,2157,,3861,,,,,,,2495,,,,,,,904,,,,,,,3098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3919,2773,,,,,,808,,1112,,,1545,,,,,,,,,,,,,,,,,,1660,,,,,,,,,,,,,,,,,2699,,2259,,,,,,
1837,,,,,,,2143,,,,,,,,,,,,,,,,,,,897,,,,,,,,,,,,,,,,,2501,,,,,,,,,2187,,3782,,,,,,,2558,,,,,,,949,,,,,,,3018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4011,2766,,,,,,850,,1126,,,1611,,,,,,,,,,,,,,,,,,1647,,,,,,,,,,,,,,,,,2614,,2126,,,,,,
1838,,,,,,,2117,,,,,,,,,,,,,,,,,,,901,,,,,,,,,,,,,,,,,2498,,,,,,,,,2282,,3885,,,,,,,2692,,,,,,,946,,,,,,,3062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4053,2804,,,,,,858,,1124,,,1669,,,,,,,,,,,,,,,,,,1621,,,,,,,,,,,,,,,,,2591,,1909,,,,,,
1839,,,,,,,1975,,,,,,,,,,,,,,,,,,,892,,,,,,,,,,,,,,,,,2506,,,,,,,,,2197,,3806,,,,,,,2438,,,,,,,928,,,,,,,3036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4051,2825,,,,,,841,,1115,,,1668,,,,,,,,,,,,,,,,,,1639,,,,,,,,,,,,,,,,,2717,,1779,,,,,,
1840,,,,,,,2496,2626,,,,,,,,,,,,,,,,1965,,942,,,,,,,,,,,,,,,,,2566,,,,,,,,,2349,,3940,,,,,,,2332,,,,,,,972,,,,,,,3133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4090,3038,,,,,,876,,1106,,,1512,,,,,,,,,,,,,,,,,,1662,,,,,,,,,,,,,,,,,2583,,1714,,,,1745,,
1841,,,,,,,2129,,,,,,,,,,,,,,,,,,,942,,,,,,,,,,,,,,,,,2540,,,,,,,,,2395,,3818,,,,,,,2314,,,,,,,966,788,,,,,,3196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4130,3011,,,,,,940,,1125,,,1575,,,,,,,,,,,,,,,,,,1641,,,,,,,,,,,,,,,,,2529,,1909,,,,,,
1842,,,,,,,1942,,,,,,,,,,,,,,,,,,,950,,,,,,,,,,,,,,,,,2528,,,,,,,,,2332,,3734,,,,,,,2364,,,,,,,967,,,,,,,3222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4029,2987,,,,,,924,,1118,,,1572,,,,,,,,,,,,,,,,,,1564,,,,,,,,,,,,,,,,,2507,,2126,,,,,,
1843,,,,,,,2252,,,,,,,,,,,,,,,,,,,968,,,,,,,,,,,,,,,,,2651,,,,,,,,,2446,,3873,,,,,,,1994,,,,,,,947,,,,,,,3062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3959,2874,,,,,,891,,1114,,,1569,,,,,,,,,,,,,,,,,,1598,,,,,,,,,,,,,,,,,2547,,1974,,,,1625,,
1844,,,,,,,2559,,,,,,,,,,,,,,,,,,,974,,,,,,,,,,,1162,,,,,,2743,,,,,,,,,2523,,4163,,,,,,,1933,,,,,,,917,,,,,,,3062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3997,2963,,,,,,871,,1116,,,1667,,,,,,,,,,,,,,,,,,1667,,,,,,,,,,,,,,,,,2685,,1974,,,,,,
1845,,,,,,,2633,,,,,,,,,,,,,,,,,,,996,,,,,,,,,,,,,,,,,2787,,,,,,,,,2435,,4301,,,,,,,1862,,,,,,,862,,,,,,,3089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3968,3082,,,,,,937,,1138,,,1657,,,,,,,,,,,,,,,,,,1706,,,,,,,,,,,,,,,,,2728,,1996,,,,,,
1846,,,,,,,2911,,,,2779,,,,,,,,1250,,,,,,,1021,,,,,,,,,,,,,,,,,2818,,,,,,,,,2432,,4250,,,,,,,2041,,,,,,,835,,,,,,,3062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3974,3061,,,,,,901,,1151,,,1640,,,,,,,,,,,,,,,,,,1647,,,,,,,,,,,,,,,,,2743,,2018,,,,,,
1847,,,,,,,3367,,,,2890,,,,,,,,,,,,,,,1031,,,,,,,,,,,,,,,,,2780,,,,,,,,,2690,,4152,,,,,,,1739,,,,,,,823,,,,,,,2991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4001,3157,,,,,,993,,1166,,,1620,,,,,,,,,,,,,,,,,,1690,,,,,,,,,,,,,,,,,2816,,1931,,,,1396,,
1848,,,,,,,3853,,,,2877,,,,,,,,,,,,,,,1071,,,,,,,,,,,,,,,,,2897,,,,,,,,,2516,,4276,,,,,,,1875,,,,,,,853,,,,,,,3071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4067,2899,,,,,,1031,,1170,,,1633,,,,,,,,,,,,,,,,,,1708,,,,,,,,,,,,,,,,,2888,,1931,,,,,,
1849,,,,,,,3807,,,,2937,,,,,,,,,,,,,,,1132,,,,,,,,,,,,,,,,,3039,,,,,,,,,2586,,4336,,,,,,,1920,,,,,,,822,,,,,,,3054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4188,2947,,,,,,1050,,1172,,,1604,,,,,,,,,,,,,,,,,,1771,,,,,,,,,,,,,,,,,2814,,1779,,,,,,
1850,,,,,2198,,3589,2861,,,3029,,,,,,,,,1123,,,,2249,,1178,684,,,,,780,,,,2023,1294,,,2884,,,3175,,,,,2017,,,1543,2627,,4248,,,,,,,1940,,,,,,,797,,,,,,,3018,1058,,1072,,,,,,,,,,,,819,,,,,,,,1255,,,,,,,,,,,,,,,,4266,3068,,1885,,,,999,,1202,,,1597,,,,,,,,,,,,,,,,,,1818,,,,,,,,,,,,,,,,2425,2825,,2126,,,,1552,,
1851,,,,,,,4259,,,,3093,,,,,,,,,1200,,,,,5349,1214,,,,,,,,,,,,,,2844,,,2986,,,,,2036,,,,2579,,4390,,,,,,,2376,,,,,,,820,790,,,,,,3018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4328,3143,,,,,,1150,,1267,,,1715,,,,,,,,,,,,,,,,,,1782,,,,,,,,,,,,,,,,,2940,,2039,,,,1837,,
1852,,,,,,,4995,,,,3156,,,,,,,,,1168,,,,,5538,1224,,,,,,,,,,,,,,2880,,,3059,,,,,2113,,,,2738,,4535,,,,,,,2006,,,,,,,789,,,,,,,2974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4278,3189,,,,,,1073,,1296,,,,,,,,,,,,,,,,,,,,,1744,,,,,,,,,,,,,,,,,3089,,2126,,,,1927,,
1853,,,,,,,5469,,,,3218,,,,,,,,,1096,,,,,4997,1190,,,,,,,,,,,,,,2855,,,3040,,,,,2113,,,,2596,,4642,,,,,,,2199,,,,,,,818,,,,,,,2911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4182,3356,,,,,,1227,,1351,,,,,,,,,,,,,,,,,,,,,1767,,,,,,,,,,,,,,,,,3300,,2256,,,,2069,,
1854,,,,,,,4789,,,,3395,,,,,,,,,1058,,,,,4191,1209,,,,,,,,,,,,,,2916,,,3021,,,,,2134,,,,2711,,4814,,,,,,,2304,,,,,,,783,,,,,,,2716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4437,3514,,,,,,1296,,1383,,,,,,,,,,,,,,,,,,,,,1785,,,,,,,,,,,,,,,,,3310,,2300,,,,2011,,
1855,,,,,,,4545,,,,3397,,,,,,,,,1069,,,,,5030,1243,,,,,,,,,,,,,,2869,,,3311,,,,,2238,,,,2661,,4656,,,,,,,2422,,,,,,,822,,,,,,,2743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4316,3585,,,,,,1377,,1419,,,1590,,,,,,,,,,,,,,,,,,1896,,,,,,,,,,,,,,,,,3237,,2386,,,,2160,,
1856,,,,,,,5546,,,,3559,,,,,,,,,1107,,,,,4996,1244,,,,,,,,,,,,,,3094,,,3083,,,,,2129,,,,2773,,4915,,,,,,,2121,,,,,,,878,,,,,,,2752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4489,3515,,,,,,1315,,1415,,,,,,,,,,,,,,,,,,,,,1876,,,,,,,,,,,,,,,,,3305,,1844,,,,1740,,
1857,,,,,,,4894,,,,3628,,,,,,,,,1185,,,,,5326,1274,,,,,,,,,,,,,,3221,,,3093,,,,,2061,,,,2927,,4921,,,,,,,2749,,,,,,,841,,,,,,,2974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4410,3332,,,,,,1523,,1444,,,,,,,,,,,,,,,,,,,,,1928,,,,,,,,,,,,,,,,,3233,,2126,,,,2059,,
1858,,,,,,,4174,,,,3628,,,,,,,,,1261,,,,,7277,1320,,,,,,,,,,,,,,3180,,,3033,,,,,2100,,,,3126,,4784,,,,,,,2651,,,,,,,897,,,,,,,3089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4289,3526,,,,,,1417,,1510,,,,,,,,,,,,,,,,,,,,,1951,,,,,,,,,,,,,,,,,3248,,2083,,,,1802,,
1859,,,,,,,5388,,,,3605,,,,,,,,,1251,,,,,6608,1360,,,,,,,,,,,,,,3162,,,3195,,,,,2202,,,,2918,,4933,,,,,,,2608,,,,,,,898,,,,,,,2991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4136,3434,,,,,,1384,,1582,,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,3336,,2104,,,,1860,,
1860,,,,,2380,,5259,3082,,,3761,,,,,,,,,1284,,,,2453,5456,1384,,,,,,908,,,,,,,,3312,,,3129,,,,,2284,,,1546,3113,,4988,,,,,,,2564,,,,,,,902,,,,,,,2974,1045,,,,,,,,,,,,,,,,,,,,,,1097,,,,,,,,,,,,,,,,4334,3569,,3643,,,,1388,,1657,,,,,,,,,,,,,,,,,,,,,2058,,,,,,,,,,,,,,,,2948,3425,,2235,,,,1927,,
1861,,,,,,,5179,,,,3790,,,,,,,,,1273,,,,,5857,1373,,,,,,,,,,,,,,3198,,,3139,,,,,2286,,,1551,2911,,4926,,,,,,,2729,,,,,,,908,747,,,,,,2956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4216,3553,,,,,,1307,,1692,,,1528,,,,,,,,,,,,,,,,,,1977,,,,,,,,,,,,,,,,,3354,,2408,,,,1814,,
1862,,,,,,,4977,,,,3861,,,,,,,,,1212,,,,,6316,1354,,,,,,,,,,,1554,,,3323,,,3196,,,,,2286,,,1451,3149,,4672,,,,,,,2754,,,,,,,848,,,,,,,2994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4382,3794,,,,,,1291,,1679,,,,,,,671,,,,,,,,,,,,,,1916,,,,,,,,,,,,,,,,,3459,,2126,,,,1336,,
